city,lat,lang,country,iso,admin,capital,pop,pop_people
Cairo,30.0561,31.2394,Egypt,EG,Al Q?hirah,primary,19372000,9500000
Giza,29.987,31.2118,Egypt,EG,Al J?zah,admin,5598402,5598402
Alexandria,31.2,29.9167,Egypt,EG,Al Iskandar?yah,admin,4870000,4870000
Mad?nat as S?dis min Ukt?bar,29.9361,30.9269,Egypt,EG,Al J?zah,,1500000,1500000
Shubr? al Khaymah,30.1286,31.2422,Egypt,EG,Al Qaly?b?yah,,1025569,1025569
Al Man??rah,31.05,31.3833,Egypt,EG,Ad Daqahl?yah,admin,960423,960423
?alw?n,29.8419,31.3342,Egypt,EG,Al Q?hirah,,619293,619293
Al Ma?allah al Kubrá,30.9667,31.1667,Egypt,EG,Al Gharb?yah,,543271,543271
Port Said,31.25,32.2833,Egypt,EG,B?r Sa‘?d,admin,524433,524433
Suez,29.9667,32.5333,Egypt,EG,As Suways,admin,485342,485342
?an??,30.7833,31,Egypt,EG,Al Gharb?yah,admin,429503,429503
Asy??,27.1869,31.1714,Egypt,EG,Asy??,admin,389307,389307
Al Fayy?m,29.3,30.8333,Egypt,EG,Al Fayy?m,admin,315940,315940
Az Zaq?z?q,30.5667,31.5,Egypt,EG,Ash Sharq?yah,admin,302840,302840
Ismailia,30.5833,32.2667,Egypt,EG,Al Ism?‘?l?yah,admin,293184,293184
Asw?n,24.0889,32.8997,Egypt,EG,Asw?n,admin,267913,267913
Kafr ad Daww?r,31.1417,30.1272,Egypt,EG,Al Bu?ayrah,,262748,262748
Damanh?r,31.05,30.4667,Egypt,EG,Al Bu?ayrah,admin,244043,244043
Al Miny?,28.0833,30.75,Egypt,EG,Al Miny?,admin,236043,236043
Damietta,31.4167,31.8214,Egypt,EG,Dumy??,admin,206664,206664
Luxor,25.6969,32.6422,Egypt,EG,Al Uq?ur,admin,202232,202232
Qin?,26.1667,32.7167,Egypt,EG,Qin?,admin,201191,201191
S?h?j,26.5606,31.6917,Egypt,EG,S?h?j,admin,193931,193931
Ban? Suwayf,29.0667,31.0833,Egypt,EG,Ban? Suwayf,admin,193048,193048
Shib?n al Kawm,30.592,30.9,Egypt,EG,Al Min?f?yah,admin,182900,182900
Al ‘Ar?sh,31.1249,33.8006,Egypt,EG,Sham?l S?n?’,admin,178651,128855
Al Ghardaqah,27.2578,33.8117,Egypt,EG,Al Ba?r al A?mar,admin,160901,160901
Banh?,30.4628,31.1797,Egypt,EG,Al Qaly?b?yah,admin,157701,157701
Kafr ash Shaykh,31.1,30.95,Egypt,EG,Kafr ash Shaykh,admin,147393,147393
Dis?q,31.1308,30.6479,Egypt,EG,Kafr ash Shaykh,,143404,143404
Bilbays,30.4167,31.5667,Egypt,EG,Ash Sharq?yah,,141285,141285
Mallaw?,27.7306,30.8425,Egypt,EG,Al Miny?,,139929,139929
Idf?,24.9781,32.8789,Egypt,EG,Asw?n,,133772,133772
M?t Ghamr,30.7192,31.2628,Egypt,EG,Ad Daqahl?yah,,121039,121039
Mun?f,30.4667,30.9333,Egypt,EG,Al Min?f?yah,,117240,117240
Jirj?,26.3419,31.8894,Egypt,EG,S?h?j,,102597,102597
Akhm?m,26.5642,31.7461,Egypt,EG,S?h?j,,101509,101509
Ziftá,30.7119,31.2394,Egypt,EG,Al Gharb?yah,,93740,93740
Sam?l??,28.3,30.7167,Egypt,EG,Al Miny?,,91475,91475
Manfal??,27.3128,30.9703,Egypt,EG,Asy??,,82585,82585
Ban? Maz?r,28.5,30.8,Egypt,EG,Al Miny?,,79553,79553
Armant,25.6167,32.5333,Egypt,EG,Qin?,,76457,76457
Magh?ghah,28.6483,30.8422,Egypt,EG,Al Miny?,,75657,75657
Kawm Umb?,24.4667,32.95,Egypt,EG,Asw?n,,71596,71596
B?r Fu’?d,31.2314,32.3253,Egypt,EG,B?r Sa‘?d,,70417,70417
Al Q???yah,27.4403,30.8183,Egypt,EG,Asy??,,69388,69388
Rosetta,31.4014,30.4194,Egypt,EG,Al Bu?ayrah,,68947,68947
Isn?,25.2933,32.5564,Egypt,EG,Qin?,,68656,68656
Ma?r??,31.3333,27.2333,Egypt,EG,Ma?r??,,68339,68339
Abn?b,27.2667,31.15,Egypt,EG,Asy??,,67526,67526
Hihy?,30.6687,31.5904,Egypt,EG,Ash Sharq?yah,,66702,66702
Samann?d,30.9622,31.2425,Egypt,EG,Al Gharb?yah,,57177,57177
Dandarah,26.1422,32.6697,Egypt,EG,Qin?,,53109,53109
Al Kh?rjah,25.44,30.55,Egypt,EG,Al W?d? al Jad?d,admin,49991,49991
Al Balyan?,26.2329,31.9993,Egypt,EG,S?h?j,,46997,46997
Ma??y,28.4167,30.7833,Egypt,EG,Al Miny?,,46903,46903
Naj‘ ?amm?d?,26.05,32.25,Egypt,EG,Qin?,,45038,45038
??n al ?ajar al Qibl?yah,30.9769,31.88,Egypt,EG,Ash Sharq?yah,,43157,43157
Dayr Maw?s,27.6414,30.8494,Egypt,EG,Al Miny?,,40640,40640
Ihn?sy? al Mad?nah,29.0856,30.9344,Egypt,EG,Ban? Suwayf,,40001,40001
Dar?w,24.4003,32.9306,Egypt,EG,Asw?n,,38400,38400
Ab? Q?r,31.3167,30.0667,Egypt,EG,Al Iskandar?yah,,37997,37997
F?rask?r,31.3297,31.7147,Egypt,EG,Dumy??,,36850,36850
Ra’s Gh?rib,28.3597,33.0775,Egypt,EG,Al Ba?r al A?mar,,32318,32318
Al ?usayn?yah,30.8612,31.919,Egypt,EG,Ash Sharq?yah,,30825,30825
Saf?j?,26.7517,33.9344,Egypt,EG,Al Ba?r al A?mar,,28261,28261
Qiman al ‘Ar?s,29.3005,31.1683,Egypt,EG,Ban? Suwayf,,28246,28246
Qah?,30.2833,31.2,Egypt,EG,Al Qaly?b?yah,,26694,26694
